Sample,,,,,,,AcylCarn 12:0 Results,AcylCarn 14:0 Results,AcylCarn 16:0 Results,AcylCarn 16:0-d3 (IS) Results,AcylCarn 18:0 Results,AcylCarn 18:1 Results,AcylCarn 18:2 Results,BMP 28:0 (IS) Results,BMP 34:1 [16:0] Results,BMP 34:1 [18:1] Results,BMP 40:6 [18:0] Results,BMP 40:6 [22:6] Results,BMP 40:8 [18:2] Results,BMP 40:8 [22:6] Results,BMP 44:12 [22:6] Results,CE 16:0 Results,CE 16:1 Results,CE 18:0 Results,CE 18:0-d6 (IS) Results,CE 18:1 Results,CE 18:2 Results,CE 18:3 Results,CE 20:3 Results,CE 20:4 Results,CE 20:5 Results,CE 22:4 Results,CE 22:5 Results,CE 22:6 Results,CE 24:4 Results,CE 24:5 Results,Cer d16:1/22:0 Results,Cer d16:1/23:0 Results,Cer d16:1/24:0 Results,Cer d17:1/24:0 Results,Cer d18:0/08:0 (IS) Results,Cer d18:0/22:0 Results,Cer d18:0/23:0 Results,Cer d18:0/24:0 Results,Cer d18:0/24:1 Results,Cer d18:1/12:0 (IS) Results,Cer d18:1/16:0 Results,Cer d18:1/18:0 Results,Cer d18:1/22:0 Results,Cer d18:1/23:0 Results,Cer d18:1/24:0 Results,Cer d18:1/24:1 Results,Cer d18:1/25:0 Results,Cer d18:2/22:0 Results,Cer d18:2/23:0 Results,Cer d18:2/24:0 Results,Cer d18:2/24:1 Results,Cer d19:1/22:0 Results,Cer d19:1/23:0 Results,Cer d19:1/24:0 Results,Cer d19:1/24:1 Results,Cer m18:0/22:0 Results,Cer m18:0/23:0 Results,Cer m18:0/24:0 Results,Cer m18:0/24:1 Results,Cer m18:1/12:0 (IS) Results,Cer m18:1/22:0 Results,Cer m18:1/23:0 Results,Cer m18:1/24:0 Results,Cer m18:1/24:1 Results,COH Results,COH-d7 (IS) Results,DG 30:0 -15:0 (IS) Results,DG 32:0 -16:0 Results,DG 32:1 -16:0 Results,DG 32:1 -16:1 Results,DG 34:1 [-16:0] Results,DG 34:1 [-18:1] Results,DG 34:2 [-16:0] Results,DG 34:2 [-16:1] Results,DG 34:2 [-18:1] Results,DG 34:2 [-18:2] Results,DG 36:1 [-18:0] Results,DG 36:1 [-18:1] Results,DG 36:2 [-18:0] Results,DG 36:2 [-18:1] Results,DG 36:2 [-18:2] Results,DG 36:3 [-18:1] Results,DG 36:3 [-18:2] Results,DG 36:4 [-18:2] Results,DG 36:4 [-20:4] Results,DG 38:4 [-20:4] Results,DG 38:5 [-20:4] Results,DG 38:6 [-20:4] Results,GM3 d18:1/16:0 Results,GM3 d18:1/18:0 Results,GM3 d18:1/18:0-d3 (IS) Results,GM3 d18:1/22:0 Results,GM3 d18:1/24:0 Results,Hex1Cer d18:1/12:0 (IS) Results,Hex1Cer d18:1/16:0 Results,Hex1Cer d18:1/22:0 Results,Hex1Cer d18:1/24:0 Results,Hex1Cer d18:1/24:1 Results,Hex1Cer d18:2/24:0 Results,Hex2Cer d18:1/12:0 (IS) Results,Hex2Cer d18:1/16:0 Results,Hex2Cer d18:1/22:0 Results,Hex2Cer d18:1/24:0 Results,Hex2Cer d18:1/24:1 Results,Hex3Cer d18:1/16:0 Results,Hex3Cer d18:1/18:0-d3 (IS) Results,Hex3Cer d18:1/22:0 Results,Hex3Cer d18:1/24:0 Results,LPC 13:0 (IS) Results,LPC 14:0 Results,LPC 15:0 Results,LPC 16:0 Results,LPC 16:1 Results,LPC 17:0 Results,LPC 18:0 Results,LPC 18:1 Results,LPC 18:2 Results,LPC 18:2-d9 Results,LPC 18:3 Results,LPC 20:1 Results,LPC 20:3 Results,LPC 20:4 Results,LPC 20:5 Results,LPC 22:5 Results,LPC 22:6 Results,LPC-O 16:0 Results,LPC-O 18:1 Results,LPC-O 22:6 Results,LPC-P 16:0 Results,LPC-P 18:0 Results,LPC-P 18:1 Results,LPE 14:0 (IS) Results,LPE 16:0 Results,LPE 18:0 Results,LPE 18:1 Results,LPE 18:2 Results,LPE 20:4 Results,LPE 22:6 Results,LPE-P 16:0 Results,LPE-P 18:0 Results,LPG 14:0 (IS) Results,LPG 16:0 Results,LPG 17:0 Results,LPG 18:0 Results,LPG 18:1 Results,LPG 18:2 Results,LPG 20:4 Results,LPG 22:6 Results,LPI 16:0 Results,LPI 17:1 (IS) Results,LPI 18:0 Results,LPI 18:1 Results,LPI 18:2 Results,LPS 14:0 Results,LPS 16:0 Results,LPS 17:1 (IS) Results,LPS 18:0 Results,LPS 18:1 Results,LPS 18:2 Results,LPS 20:4 Results,LPS 22:6 Results,LSM 16:0 Results,LSM 18:0 Results,LSM 18:1 Results,LSM 18:1-d7 (IS) Results,LSM 18:2 Results,LSM 20:4 Results,PC 26:0 (IS) Results,PC 32:0 Results,PC 32:1 Results,PC 34:1 Results,PC 34:2 Results,PC 36:0 Results,PC 36:1 Results,PC 36:2 Results,PC 36:3 Results,PC 36:4 Results,PC 38:4 Results,PC 38:5 Results,PC 38:6 Results,PC 40:6 Results,PC 40:7 Results,PC 40:8 Results,PC-O 32:0 Results,PC-O 34:1 Results,PC-O 38:6 Results,PC-P 32:0 Results,PC-P 34:2 Results,PC-P 36:1 Results,PC-P 36:3 Results,PC-P 36:4 Results,PC-P 38:6 Results,PE 34:0 (IS) Results,PE 34:1 Results,PE 34:2 Results,PE 36:1 Results,PE 36:2 Results,PE 36:3 Results,PE 36:4 Results,PE 38:4 Results,PE 38:5 Results,PE 38:6 Results,PE 40:6 Results,PE-P 16:0/18:1 Results,PE-P 16:0/18:2 Results,PE-P 16:0/20:4 Results,PE-P 16:0/20:5 Results,PE-P 16:0/22:6 Results,PE-P 18:0/18:1 Results,PE-P 18:0/18:2 Results,PE-P 18:0/20:4 Results,PE-P 18:0/20:5 Results,PE-P 18:0/22:6 Results,PE-P 18:1/20:4 Results,PE-P 18:1/22:6 Results,PG 34:0 (IS) Results,PG 34:1 Results,PG 35:1 Results,PG 36:0 Results,PG 36:1 Results,PG 36:3 Results,PG 40:6 Results,PG 40:8 Results,PG 44:12 Results,PI 25:0 (IS) Results,PI 34:1 Results,PI 34:2 Results,PI 36:1 Results,PI 36:2 Results,PI 36:3 Results,PI 36:4 Results,PI 38:4 Results,PI 38:5 Results,PI 38:6 Results,PI 40:5 Results,PI 40:6 Results,PS 34:0 (IS) Results,PS 34:1 Results,PS 36:1 Results,PS 36:2 Results,PS 38:3 Results,PS 38:4 Results,PS 38:5 Results,SM 30:1 (IS) Results,SM 32:0 Results,SM 32:1 Results,SM 32:2 Results,SM 33:1 Results,SM 34:0 Results,SM 34:1 Results,SM 34:2 Results,SM 36:0 Results,SM 36:1 Results,SM 36:2 Results,SM 38:1 Results,SM 38:2 Results,SM 40:1 Results,SM 40:2 Results,SM 41:1 Results,SM 42:1 Results,SM 42:2 Results,SM 42:3 Results,Sph d17:0 (IS) Results,Sph d17:1 (IS) Results,Sph d18:0 Results,Sph d18:1 Results,TG 36:0 [-12:0] (IS) Results,TG 48:1 [-14:0] Results,TG 48:1 [-16:0] Results,TG 48:1 [-16:1] Results,TG 48:1 [-18:1] Results,TG 48:2 [-14:0] Results,TG 48:2 [-16:0] Results,TG 48:2 [-16:1] Results,TG 48:2 [-18:1] Results,TG 48:2 [-18:2] Results,TG 50:1 [-16:0] Results,TG 50:1 [-18:1] Results,TG 50:2 [-16:0] Results,TG 50:2 [-16:1] Results,TG 50:2 [-18:1] Results,TG 50:2 [-18:2] Results,TG 50:3 [-16:0] Results,TG 50:3 [-16:1] Results,TG 50:3 [-18:1] Results,TG 50:3 [-18:2] Results,TG 52:1 [-16:0] Results,TG 52:1 [-18:0] Results,TG 52:1 [-18:1] Results,TG 52:2 [-16:0] Results,TG 52:2 [-18:0] Results,TG 52:2 [-18:1] Results,TG 52:2 [-18:2] Results,TG 52:3 [-16:0] Results,TG 52:3 [-18:1] Results,TG 52:3 [-18:2] Results,TG 52:4 [-16:0] Results,TG 52:4 [-16:1] Results,TG 52:4 [-18:1] Results,TG 52:4 [-18:2] Results,TG 52:5 [-16:0] Results,TG 52:5 [-16:1] Results,TG 52:5 [-18:2] Results,TG 52:5 [-18:3] Results,TG 54:2 [-18:0] Results,TG 54:2 [-18:1] Results,TG 54:3 [-18:0] Results,TG 54:3 [-18:1] Results,TG 54:3 [-18:2] Results,TG 54:4 [-18:1] Results,TG 54:4 [-18:2] Results,TG 54:5 [-18:1] Results,TG 54:5 [-18:2] Results,TG 54:5 [-18:3] Results,TG 54:6 [-18:3] Results,TG 54:6 [-20:4] Results,TG 54:6 [-20:5] Results,TG 54:7 [-18:2] Results,TG 54:7 [-18:3] Results,TG 56:5 [-20:4] Results,TG 56:6 [-20:4] Results,TG 56:6 [-22:4] Results,TG 56:7 [-20:4] Results
!,!,dilution 100B,dilution 100B.d,Sample,,26/2/2024 19:27,2297,6633,6718,23336095,5038,18143,301045,15352,3904,2054,154,15,22,6,6,441,99,4845,1102658,1758,84,93,9,19,113,91,170,409,27,144,1243,252,2332,2505,1602611,475,176,115,73,9612688,99922,22890,17084,1515,48440,34680,1737,4636,308,11382,5327,346,11,673,27,230,14,93,68,15290307,804,13,1182,541,15582,327496,4094740,15403,877,14212,33316,41788,4343,11530,7808,9026,11984,12273,2437,77160,2981,10067,11577,15538,30,553,596,3,4511,1576,56985,2396,3763,4062947,28664,11382,24111,12632,2739,2929525,12772,1426,3843,3548,927,160635,498,819,13076696,8754,4766,70526,6943,2977,118701,60477,2550,215793,170,12621,52982,333136,5458,1549,150,6885,1882,8457,1648,1766,6496,949396,1381,993,6462,116,133,68,68,1037,1590,69,117,124,20,50,14,17,13,212,51,15,6,131,331,568807,1353,798,25,10,30,1482,877,2266,33,84,243,28208257,378105,28635817,39293232,5850476,821807,8768833,13830171,267136,105828,18728,42387,79573,5915,36534,76,85044,1201057,14493,97055,82300,347635,16340,9750,28107,2217779,747128,479469,1309611,2000746,43166,4504,48662,11240,15450,2951,462184,20674,14523,3139,7596,275909,20946,13860,3849,8514,5178,3698,253795,128645,437,1742,21886,286,735,11,2,75621,82078,14538,153056,773054,9348,2215,117450,8121,1362,13477,700,549635,900550,442633,938164,1333,31113,3383,15601310,11558,112020,4464,14209,174196,2630999,61343,19949,397240,287386,50988,15289,128462,608373,11671,206447,257085,31054,6013358,11705318,1448,39629,7456245,37801,74859,28549,42144,10243,18077,29374,20787,3958,367490,168676,212852,65437,100963,60602,15506,26872,13974,12884,31014,16003,54718,444874,5483,802611,14870,13652,311653,19819,213649,11096,32355,336230,33659,3779,31464,31241,22595,78048,13889,1045198,28328,25173,31547,339668,35751,3298,3735,31,122,91429,57410,58,498,34,122
!,!,PBLK01,PBLK01.d,Sample,,26/2/2024 13:14,1644,2050,6434,22016797,6095,8975,292526,14599,85,83,108,32,27,9,28,212,139,4858,1240847,964,45,128,25,19,35,102,53,56,41,56,337,223,1470,1296,1620626,529,201,803,6,9210537,4902,2028,1924,917,4596,273,1530,152,29,171,17,356,15,596,46,16,24,45,10,15021521,86,27,116,29,3246,439227,3711078,12623,1075,6588,10060,13745,4779,3526,756,8778,3290,1967,1907,23751,1857,10199,9818,15813,18,11,35,46,72,86,55790,60,81,4094507,193,9,95,25,22,2990155,343,84,83,61,9,162639,170,128,13398881,6382,4253,22435,197,1836,14244,3639,1981,178,83,108,99135,625369,6143,1412,47,998,306,5198,24,106,1818,1066552,522,3666,2500,38,12,7,19,29,1786,30,321,95,114,15,24,17,36,140,43,28,5,104,172,639565,83,60,28,30,9,831,299,2445,29,20,6,27703359,3929,10851,16792,7972,369,4298,17725,1105,428,770,308,1574,75,65,18,596,872,131,171,127,156,99,48,119,2029319,505,125,596,1353,25,226,18,77,59,3,48,49,26,33,9,167,41,22,13,31,20,465,220636,726,11,25,48,16,11,22,33,72204,5,21,70,651,62,12,312,1,0,17,0,328414,7177,2726,7270,119,224,43,15219268,1578,12045,143,662,819,19433,582,51,4080,2486,1795,244,3884,624,79,2974,2612,1030,7024594,13949415,1018,7459,7399149,36270,77466,28384,37505,9446,17618,33784,19396,4763,352587,168005,207526,55701,94310,61699,15030,23501,15778,13038,31775,16196,50736,435509,5570,763065,16840,14605,311564,22626,228961,11695,35479,356370,35029,3963,33100,32871,22696,81169,15018,1048734,28406,30540,33782,363165,37473,4149,3923,35,166,93390,60962,67,161,112,347
!,!,PBLK02,PBLK02.d,Sample,,26/2/2024 19:10,1284,2455,9726,22253622,6072,9108,286736,14769,119,10,22,3,18,5,11,696,16,4281,1203458,1065,810,69,80,6,164,77,19,15,9,41,291,275,1237,1404,1618650,653,233,39,32,9284495,3699,2396,2158,735,4405,202,1487,91,46,147,52,249,19,752,7,30,28,16,17,15184884,59,53,90,86,2746,455000,3655304,12597,1223,7036,11135,15051,5593,3803,1073,9409,2907,1773,1628,24228,1880,7096,9632,15736,28,75,46,39,41,2,54156,4,36,4181879,39,47,125,89,25,3053132,485,75,86,45,22,162423,90,193,13706718,6383,4725,23064,428,1783,13692,3252,1404,115,123,77,109136,634157,3696,1299,413,1332,485,5786,40,209,395,1087573,438,4230,2633,15,9,25,34,59,1556,49,169,41,9,42,20,51,12,256,220,18,35,129,239,647478,69,240,30,18,38,949,710,3047,130,68,24,27911130,3992,10689,17360,6777,292,3794,14996,1346,328,360,117,1389,12,53,28,468,1330,39,194,23,141,191,11,32,2079770,652,140,1009,1832,66,252,82,57,103,2,38,4,5,2,108,127,10,9,6,11,28,626,225414,496,19,40,81,8,11,10,2,75747,12,21,54,573,18,2,311,2,4,21,1,298601,8724,3288,6749,118,170,155,15579597,1796,12080,111,406,910,21398,519,368,3572,2459,1707,278,3996,883,56,2971,2466,681,6813726,13743321,927,9448,7219268,35798,72602,24946,36951,7485,16506,29467,19575,4013,353471,156445,200906,55638,91301,58449,15448,22788,12946,12370,30494,14477,48712,426578,4864,756367,16660,9464,300955,19524,219675,11682,32467,347550,31956,4036,31730,31197,21942,80313,14063,1030702,26925,32385,30454,370250,36030,3799,4190,560,31,92309,60335,159,371,13,113
!,!,Sample 1,Sample 1.d,Sample,,26/2/2024 15:30,719,731,5461,22626608,5268,7089,289188,14550,4123,2287,164,7,46,33,14,515,39,3783,1013072,1193,79,8,56,19,39,40,36,167,107,57,903,190,2079,1530,1573971,206,307,88,102,9456419,94830,19577,13364,1762,38940,31928,1310,4214,330,10782,4474,271,8,699,7,13,62,20,3,14928203,787,10,1290,583,16851,335654,4295138,14590,457,14807,34306,43673,4708,12872,9530,8405,12438,13114,1557,82247,2923,10549,12901,14520,53,755,520,17,4360,1578,53978,2014,3579,3999797,27564,10156,19740,11174,2549,2888337,11287,1312,3062,2806,953,157609,438,633,12799501,6492,3732,41794,4594,2909,112105,39388,2666,93,68,11435,48979,321771,4836,963,432,2927,913,8047,364,1257,4276,934987,861,515,4029,86,220,12,20,680,1353,108,325,97,17,4,49,13,17,59,88,35,94,92,115,588335,1287,486,28,19,128,1052,694,2602,19,175,58,27424548,324843,27789238,36248262,5698379,776168,8081622,13299720,269196,5114,18037,40458,80261,6431,35867,103,76776,1126239,14414,89839,88416,316781,13200,11187,25948,2197468,692908,453680,1188756,1923770,44881,4468,46670,11883,14418,3290,444616,20378,13958,3520,7887,251773,21429,11945,3695,8873,4915,3304,244912,124487,102,1723,19508,294,815,10,11,72705,77645,14450,146268,779835,9261,2218,121887,8809,1445,13539,442,573961,942378,489138,1077119,1699,37041,3644,15205969,12245,113707,4166,13390,160037,2448650,64036,21023,350030,268475,46097,14808,107706,582825,11817,168192,223163,27674,6049220,12054952,1157,45268,7574033,37424,81152,28824,42547,9994,17435,33770,21081,5053,373378,169263,222301,62647,108721,58993,16136,25546,14948,15362,31390,16441,55421,447818,6003,815166,16369,10326,314324,20962,222470,12312,31204,349217,35404,4350,31833,32194,22291,83431,13316,1101584,27582,29500,32869,353450,38884,4222,3810,291,12,93813,62856,27,663,169,430
!,!,Sample 2,Sample 2.d,Sample,,26/2/2024 15:47,818,976,5575,22142952,4155,10997,292557,14745,4785,2686,73,18,3,14,11,264,370,6408,1126756,1652,96,154,54,8,182,3,59,211,232,142,1143,392,1807,1793,1583820,402,85,64,104,9494028,121692,22586,16250,1402,45811,37651,1232,4887,269,12605,5255,262,27,636,14,16,59,151,3,14776918,1004,41,1069,653,16920,303185,4378344,13091,729,16415,37981,50469,5053,14671,11056,8192,14608,14492,1535,94845,2750,10633,12950,14708,23,826,765,26,4732,1936,54309,1699,3939,4030680,35369,11592,22458,13100,3143,2845232,13161,1540,3655,3352,1308,152429,601,802,12852668,9572,4903,53974,7866,3501,123554,63324,2416,8478,321,15762,47223,311574,4805,1791,1436,3945,1571,9050,745,1805,5964,928108,1567,537,6288,62,100,172,23,916,1276,13,107,67,26,36,9,14,45,316,171,41,4,296,144,603265,1437,414,121,43,53,954,874,2464,21,119,966,27755125,394397,33669476,45795136,7029860,907287,9510736,16879457,316296,228234,24442,54923,114370,6551,45300,35,109503,1342364,17398,113497,106416,384630,16182,11195,35176,2205653,806399,560191,1418506,2273681,50639,5143,54543,14222,18981,2292,514726,25256,17183,4439,11797,291502,24518,16390,3913,10151,6381,4560,250896,146098,379,2119,23595,366,498,11,23,72302,94141,18911,175703,870208,10266,3435,140169,11891,1489,14815,515,603443,1090798,592126,1273806,2273,38239,4916,14890724,14454,136773,6194,17658,203939,2982108,75998,21938,448861,323525,54517,18885,127386,726343,13134,193242,276788,31920,5950749,11653560,2093,45777,7753280,38290,87110,28690,42628,11300,17787,32489,21732,4190,400968,179334,218932,63943,112158,62498,16484,25475,16541,15297,34651,18368,54971,472005,5192,844146,16603,14801,323603,19440,230913,11606,33655,358892,34897,4414,33502,31049,22840,85153,15209,1093064,27954,13395,31089,359137,39839,3688,3905,44,49,93157,66622,69,194,80,402
!,!,Sample 3,Sample 3.d,Sample,,26/2/2024 16:04,10959,1954,14348,22302980,7074,8794,285133,14417,4052,3169,42,13,17,14,14,729,36,5313,1015448,1566,31,89,43,271,33,38,25,251,4,176,1220,473,2681,2881,1527979,758,355,50,30,9183012,87998,20062,14542,2024,39620,29790,1920,4100,254,9850,4619,545,273,964,29,37,23,354,32,14768003,554,17,1096,382,16834,328596,3766591,15641,646,13936,34095,42428,5549,13359,10903,8685,12619,13016,1166,84433,2810,10392,11331,14484,366,681,530,21,4316,1366,56844,1493,3155,3941901,23982,8827,16874,10680,2184,2847620,10475,1335,2858,2955,1167,153036,475,658,12447571,7232,4681,35746,2131,2247,47065,14124,1821,24162,292,3207,82460,504206,4798,838,497,2825,581,5907,71,541,8990,898459,505,2538,3001,181,63,44,11,380,1057,15,169,44,69,86,6,16,5,13,218,27,75,112,409,573534,1129,208,49,15,28,1517,757,2731,50,83,428,26915665,294105,26031743,33615016,5128066,696788,7418671,12315443,245531,163640,17554,35857,71400,5008,33707,25,76131,1049970,10369,85421,79163,293685,12203,9022,24829,2135735,643692,423414,1120871,1798212,44240,4773,44040,9935,14868,2733,413285,19325,12413,3648,8032,227162,17170,13173,3067,8273,5273,3147,250307,124701,352,1886,19367,710,420,41,36,72543,83478,14406,138944,756744,8906,1715,122191,7193,1068,11545,335,540276,927203,454950,992557,1902,32319,4078,14868915,11003,102833,3728,12261,146859,2249226,56143,17566,331049,258297,41814,13217,100890,551988,10720,161160,211707,26699,5847728,11563643,1197,15174,7207409,36356,79373,27167,42557,10018,19628,36610,21111,5518,377004,172636,215731,66619,105674,62337,15681,27289,16704,13337,33707,16652,54494,451003,5349,816099,16211,14028,323570,21133,237026,12062,34369,348687,35935,3843,31512,31276,22938,82771,13496,1074743,26507,16474,33894,355176,39151,3809,4101,43,111,94873,64617,52,327,230,108
!,!,Sample 4,Sample 4.d,Sample,,26/2/2024 16:38,393,1589,9834,23288696,3435,10642,310622,14598,4906,3249,91,13,28,32,13,971,34,5369,1048287,1197,45,81,62,100,40,197,507,1024,257,38,1060,194,2427,1813,1589581,663,293,46,173,9548525,130397,25775,17294,1634,48185,42081,1835,4790,212,12376,5583,265,248,692,4,90,20,40,22,15663880,639,41,1290,677,23367,316056,3954966,20834,658,17259,41355,50964,5069,14289,11878,9839,16871,15337,1591,101262,3308,8583,11982,14858,55,852,747,10,5558,2208,56807,2025,4437,4103871,36873,11061,22938,12792,2728,2952412,15863,1323,3945,3797,1563,156102,620,1159,12830839,15733,5833,179011,11911,5000,121621,58373,5180,766647,587,4685,83395,544132,7787,818,1691,24522,3252,7412,531,2983,6882,948983,2514,3595,6458,252,791,689,5,272,919,24,258,66,12,93,12,14,112,228,30,10,25,92,418,584062,1205,321,15,4,87,1029,587,2717,134,15,592,28147011,600189,36065176,46963215,7112892,904554,9801080,17035439,340920,282166,27098,69344,107940,11295,54067,113,129373,1402453,17318,115179,111348,376586,20582,13549,41590,2142748,822273,566360,1395607,2318436,53528,5582,60420,13848,21932,3430,535718,27254,18840,4456,10318,304630,25700,16519,4780,10160,6497,4490,253786,162820,681,2710,26223,739,401,18,13,73764,100101,17966,180954,913983,11469,2392,145241,11359,1518,15463,340,565277,1134122,618946,1268617,1656,40286,4374,15586879,14041,145197,4257,22358,213298,3298561,90446,27221,478765,349806,59964,18060,144562,709215,14299,216009,311125,41417,6132765,11573274,1703,16268,7535025,37757,75709,26421,42285,10139,16823,31436,20882,3812,367556,168435,206316,63569,107856,60053,15346,25488,16575,13976,32715,15655,50125,431746,5106,775601,15516,14013,309183,21816,215608,11948,31676,332978,34501,3941,31505,31216,21515,77306,14591,1039675,27610,30729,32977,356656,38646,3519,3908,429,162,92188,63481,15,687,112,271
!,!,Sample 5,Sample 5.d,Sample,,26/2/2024 16:55,886,1737,7674,22558416,2346,10703,290658,14879,4943,2287,99,42,28,63,3,475,67,3747,984343,1277,68,86,21,362,86,7,504,265,15,16,1009,417,2328,2201,1564169,193,185,72,277,9390673,129683,26627,18596,2085,48818,40749,1625,5920,11,13185,6256,324,9,566,32,13,56,18,23,14602953,581,39,1161,854,18417,303155,4106886,14710,625,15950,38691,51331,5069,13172,12278,8428,14974,14992,1168,96240,2874,9299,13178,14712,600,759,631,8,5228,1842,53743,2035,4364,4018022,36972,12941,23431,12670,2539,2913833,12797,2104,3563,3781,1507,162478,423,840,12866927,7508,5199,48291,6554,1975,52256,25447,1705,35479,452,3116,46981,302568,2917,1308,441,5114,997,9622,172,775,4894,923386,1002,368,2879,89,29,20,12,374,984,27,80,60,189,27,33,13,5,53,58,161,54,120,295,584702,370,141,27,50,90,1000,492,2463,35,16,217,27518718,439951,34565344,47661752,7062713,950032,10282423,17868082,344697,5990,25041,55404,99786,8750,50541,51,109614,1390226,16726,118995,110327,394393,21080,12997,42284,2193049,859312,560074,1437127,2377236,55134,4208,61188,13254,20070,4373,548401,26626,18657,4434,10456,309112,24929,16732,4429,10668,6535,4271,242580,154962,554,2287,26480,539,910,15,16,71694,94523,19194,182919,938699,10892,2430,146953,11354,1714,15790,808,565423,1157415,647790,1289738,2223,41225,4529,15183116,14073,138257,5001,17909,210607,3144920,76219,25690,484047,351328,56477,20056,135575,770124,15790,210700,292693,35302,6002107,11811172,1247,48982,7396993,35023,77589,28770,39575,11661,17909,31355,21895,5220,365924,170591,209820,63781,105741,61074,15172,27539,16984,14229,32966,15922,53852,446682,5512,793442,15491,13701,309010,21023,221738,11400,35131,338778,33447,4373,31154,33289,21795,81944,13087,1058159,29281,19072,33221,346735,39322,3416,3835,737,56,96325,63545,123,472,25,302
!,!,Sample 6,Sample 6.d,Sample,,26/2/2024 17:12,538,1678,7512,23167813,2211,11218,296112,14451,5301,2915,101,32,8,36,22,104,95,3666,1043218,1200,48,40,16,452,43,48,45,150,37,98,1077,275,2244,1788,1575197,314,137,85,52,9526736,131912,25948,18183,1855,49404,40708,1339,5754,7,12772,6333,298,40,554,4,8,24,78,16,14769089,1032,9,1318,748,17919,320715,4224685,13037,832,17528,40017,48660,5549,15039,10927,8532,14808,15260,1629,96548,2751,7675,10838,14279,43,955,445,2,5764,2016,51862,2439,4115,4019453,36030,12541,23937,13617,3157,2869479,14904,1489,3512,3495,1345,152859,534,944,12839182,6309,3988,30187,8527,1755,45087,45841,2609,23186,148,4694,47737,306663,6166,849,287,1942,589,9724,459,549,7134,928639,1075,814,7377,19,284,223,14,422,948,10,111,124,74,4,17,51,10,30,188,5,41,93,191,580233,1116,358,40,47,30,859,693,2802,39,37,844,27740016,409206,34657442,47119335,7103263,956271,10166243,17348932,340879,286397,24521,53889,96699,5231,45835,21,101464,1393144,17766,118986,115300,394569,19522,12047,42344,2165001,857781,570365,1436031,2392009,53002,6069,57636,16468,19684,4378,555037,25587,18996,4497,10604,312527,25856,15776,4724,10500,6172,5028,235424,154146,354,2176,23943,663,564,36,14,69909,95055,20204,185326,931272,11864,2459,137252,10413,1284,14314,381,572482,1134773,626808,1251114,1404,40857,5242,15205051,13953,137854,5262,17423,209408,3190266,79751,23145,468818,346788,53716,18808,133993,699534,13671,215110,284785,33038,6048340,11921130,2019,49284,7513449,37111,81584,28444,41612,10942,20932,31157,23398,4666,368208,166831,209414,62112,109018,59902,18156,24178,14610,12228,32173,16429,54089,447798,5298,811738,15472,13792,316026,19454,230925,11455,33102,356621,34015,4163,31917,31199,22244,81978,14124,1090140,29300,21457,34517,353587,37170,3580,4700,20,103,94016,63431,195,243,11,177
!,!,Sample 7,Sample 7.d,Sample,,26/2/2024 17:46,777,566,9581,23135160,3482,10221,286635,13751,6302,3178,54,25,2,47,2,272,39,5277,1070344,1507,49,48,107,358,7,6,50,221,79,169,1502,202,3486,2279,1575107,570,173,206,103,9634304,183083,41642,35573,2010,111608,80879,1736,8805,8,25007,8762,282,13,594,28,30,50,55,4,14747376,1036,53,2153,1547,24522,290306,4320608,15376,1091,14496,37338,47889,4634,12107,7827,9022,16748,17363,1655,87458,3087,9477,12928,15316,50,458,308,68,8084,2835,54108,4408,9586,4022051,49621,25969,59676,26099,6112,2871431,22218,3337,9017,7781,2386,157383,845,2264,12890657,6979,3769,72162,6356,4107,279147,142001,1849,33,541,53597,47303,311388,3092,977,217,13080,6261,12193,6220,5561,7240,923218,2590,509,13478,22,146,101,19,3166,904,23,44,58,62,129,4,21,29,38,100,6,25,450,363,575019,2104,1177,12,124,156,1117,526,2311,62,229,29,27541584,729934,47180334,71038060,9682106,1833210,20724665,28645884,420571,6313,39496,64639,111161,7096,49810,31,180005,2237885,22612,209783,145981,684005,22833,16147,71816,2140605,1352047,741334,2636340,3535999,69915,4495,84879,14190,18328,4139,851314,36363,22977,4452,12375,544624,39014,23664,5708,12806,6883,4453,248714,186854,414,3926,38028,698,633,12,6,73287,113521,19230,252914,996020,12019,1935,160791,9648,1375,15614,975,566636,1180866,764810,1220793,1960,41983,4363,14852293,18797,177356,6457,22313,301059,4286515,89756,43616,783959,442177,107588,33047,284495,1167879,25874,492176,557157,61406,6058277,11775847,1122,51124,7388786,46878,88346,28878,49784,12821,18469,36898,25136,4591,409720,178014,225317,76837,137234,58549,16521,28526,15782,11885,36516,20517,63421,506492,6147,913235,15022,14252,344098,20807,234964,12069,33832,344775,35297,4576,33785,32622,24295,85780,13920,1165377,27057,29201,31546,361939,37607,4015,3838,471,106,95002,61599,63,813,85,132
